Code	Voornaam	Naam	Ploeg	Type	Waarde	Actief	Nummer
101	Romain	Bardet	AG2R La Mondiale	H	10	1	
102	Mikael	Cherel	AG2R La Mondiale	H	5	1	
103	Samuel	Dumoulin	AG2R La Mondiale	H	10	1	
104	Ben	Gastauer	AG2R La Mondiale	H	5	1	
105	Blel	Kadri	AG2R La Mondiale	H	7.5	1	
106	Sébastien	Minard	AG2R La Mondiale	H	5	1	
107	Jean-Christophe	Peraud	AG2R La Mondiale	H	7.5	1	
108	Christophe	Riblon	AG2R La Mondiale	H	15	1	
109	Matteo	Montaguti	AG2R La Mondiale	H	5	1	
201	Jakob	Fuglsang	Astana Pro Team	H	30	1	
202	Alessandro	Vanotti	Astana Pro Team	H	5	1	
203	Andriy	Grivko	Astana Pro Team	H	7.5	1	
204	Dmitriy	Gruzdev	Astana Pro Team	H	5	1	
205	Maxim	Iglinsky	Astana Pro Team	H	5	1	
206	Tanel	Kangert	Astana Pro Team	H	10	1	
207	Vincenzo	Nibali	Astana Pro Team	H	40	1	
208	Michele	Scarponi	Astana Pro Team	H	20	1	
209	Lieuwe	Westra	Astana Pro Team	H	7.5	1	
301	Lars	Boom	Belkin-Pro Cycling Team	H	7.5	1	
302	Stef	Clement	Belkin-Pro Cycling Team	H	10	1	
303	Laurens	ten Dam	Belkin-Pro Cycling Team	H	15	1	
304	Steven	Kruijswijk	Belkin-Pro Cycling Team	H	10	1	
305	Tom	Leezer	Belkin-Pro Cycling Team	H	5	1	
306	Bauke	Mollema	Belkin-Pro Cycling Team	H	30	1	
307	Bram	Tankink	Belkin-Pro Cycling Team	H	5	1	
308	Sep	Vanmarcke	Belkin-Pro Cycling Team	H	7.5	1	
309	Maarten	Wynants	Belkin-Pro Cycling Team	H	5	1	
401	Darwin	Atapuma	BMC Racing Team	H	7.5	1	
402	Marcus	Burghardt	BMC Racing Team	H	10	1	
403	Amaël	Moinard	BMC Racing Team	H	5	1	
404	Daniel	Oss	BMC Racing Team	H	10	1	
